wav_path	low-high	m-f	clear-hoarse	calm-restless	powerful-weak	youthful-aged	thick-thin	firm-relaxed	dark-bright	cold-warm
LibriTTS_R/train-other-500/1341/9206/1341_9206_000070_000000.wav	2-3-3-3	1-3-2-3	5-4-5-6	4-4-5-2	4-2-5-6	5-4-6-4	2-6-4-3	5-6-4-5	2-2-4-2	4-5-5-5
LibriTTS_R/train-other-500/1384/130459/1384_130459_000064_000000.wav	3-5-4-2	4-4-4-3	7-5-6-6	5-4-4-3	6-2-6-6	4-6-5-5	6-6-4-5	6-6-6-5	2-2-2-2	3-4-4-3
LibriTTS_R/train-other-500/1430/139231/1430_139231_000010_000004.wav	4-3-3-2	2-2-2-1	2-4-5-5	2-5-5-2	4-4-3-3	4-5-6-6	4-3-4-3	2-3-3-2	6-4-4-4	6-4-5-6
LibriTTS_R/train-clean-360/1509/145742/1509_145742_000023_000000.wav	6-5-5-5	7-6-6-7	3-3-3-2	7-6-4-4	3-2-3-3	2-5-4-3	6-3-4-4	1-3-3-3	7-5-6-5	6-5-5-3
LibriTTS_R/train-clean-360/1603/140931/1603_140931_000038_000000.wav	2-3-5-2	1-2-2-2	5-3-4-4	3-5-6-2	4-3-4-3	4-4-4-5	5-3-4-3	5-3-4-3	3-4-4-4	3-4-3-6
LibriTTS_R/train-clean-360/1641/130503/1641_130503_000009_000000.wav	6-5-6-6	7-6-6-6	5-2-4-3	3-4-4-2	5-4-3-5	3-3-2-3	5-4-4-5	6-3-4-5	3-3-5-5	4-3-4-3
LibriTTS_R/train-other-500/1696/142314/1696_142314_000045_000006.wav	6-5-4-6	7-6-4-6	3-4-4-3	5-5-5-6	3-4-4-2	3-4-4-4	4-4-4-4	3-4-4-2	4-5-4-6	4-5-4-4
LibriTTS_R/train-other-500/1726/142316/1726_142316_000025_000001.wav	4-6-5-6	5-5-5-6	5-3-6-2	4-5-4-6	4-3-4-2	4-5-4-3	4-3-3-3	3-3-4-3	4-5-4-5	4-3-4-4
LibriTTS_R/train-other-500/1756/134820/1756_134820_000007_000001.wav	5-5-4-3	7-6-4-6	5-3-4-6	4-3-4-3	5-3-3-4	4-4-4-3	4-3-3-4	4-5-4-4	3-2-3-3	4-3-4-5
LibriTTS_R/train-other-500/1804/170447/1804_170447_000021_000001.wav	6-4-5-3	7-6-6-7	3-4-3-3	2-4-4-3	4-4-3-4	4-4-2-3	4-4-4-5	4-4-3-3	4-4-4-5	4-3-5-3
LibriTTS_R/train-clean-360/2004/147981/2004_147981_000004_000007.wav	4-3-4-2	5-5-4-6	5-3-3-5	1-4-3-2	4-5-4-4	4-4-5-3	4-5-3-3	4-5-4-3	3-2-3-3	3-3-4-4
LibriTTS_R/train-other-500/2122/149350/2122_149350_000071_000000.wav	3-3-3-2	1-2-2-1	5-3-4-5	4-5-4-2	4-5-4-2	4-4-4-5	4-4-4-1	5-4-4-3	4-3-4-2	4-4-4-5
LibriTTS_R/train-clean-100/2136/5140/2136_5140_000015_000002.wav	2-2-3-2	1-1-2-1	4-4-3-5	2-6-6-3	4-3-4-2	4-4-4-4	2-3-4-2	3-3-3-3	3-3-5-2	4-5-4-5
LibriTTS_R/train-clean-360/2230/148550/2230_148550_000004_000001.wav	5-4-5-5	7-5-5-6	2-3-3-3	4-5-4-3	3-2-4-3	4-3-4-4	3-3-3-3	2-3-3-3	5-4-4-5	5-5-3-3
LibriTTS_R/train-clean-100/2416/152137/2416_152137_000029_000006.wav	6-4-4-5	7-5-4-6	4-3-5-3	3-5-4-3	4-5-5-5	4-3-5-3	4-4-4-3	4-3-5-4	4-4-3-3	4-6-4-5
LibriTTS_R/train-other-500/2588/11081/2588_11081_000052_000001.wav	6-6-5-4	2-3-2-3	2-3-3-5	4-5-4-3	4-5-3-3	3-3-3-3	5-5-4-4	4-4-4-3	6-5-5-4	5-3-5-4
LibriTTS_R/train-other-500/2740/288813/2740_288813_000018_000001.wav	1-1-2-2	1-1-1-1	5-6-3-6	1-4-2-2	2-3-4-2	6-6-6-5	1-2-2-2	3-3-3-2	3-4-4-1	3-6-5-6
LibriTTS_R/train-clean-360/3008/164327/3008_164327_000033_000001.wav	5-4-5-5	4-5-4-6	5-3-3-5	5-5-5-6	3-3-4-3	4-4-5-4	5-4-4-6	4-3-3-3	3-4-5-3	3-3-5-2
LibriTTS_R/train-other-500/3033/138641/3033_138641_000012_000001.wav	7-7-6-6	7-7-6-7	3-3-4-3	4-6-4-3	4-3-4-4	4-3-5-3	5-4-4-5	3-2-4-3	6-5-5-6	5-5-5-5
LibriTTS_R/train-other-500/3053/148990/3053_148990_000076_000002.wav	5-2-3-3	5-5-4-6	7-6-5-6	4-5-4-3	5-5-5-5	4-5-6-3	4-5-4-4	5-2-5-3	2-2-3-3	3-2-3-3
LibriTTS_R/train-other-500/3054/128245/3054_128245_000050_000000.wav	4-5-5-2	2-3-2-1	2-4-3-5	6-5-5-4	4-3-3-5	4-4-5-5	5-3-4-6	3-3-3-4	5-4-4-3	4-5-3-3
LibriTTS_R/train-other-500/3063/138652/3063_138652_000052_000001.wav	1-1-2-1	1-1-1-1	7-5-6-6	7-4-5-6	3-4-4-2	6-6-5-5	1-1-3-1	5-3-5-5	3-3-3-1	3-4-3-5
LibriTTS_R/train-other-500/3244/10692/3244_10692_000010_000001.wav	6-6-5-5	7-7-5-7	2-3-4-6	2-4-4-3	6-4-5-6	3-4-4-2	7-5-4-6	6-3-5-6	3-4-4-5	4-4-3-6
LibriTTS_R/train-other-500/3261/154309/3261_154309_000008_000002.wav	1-1-1-1	1-1-1-1	7-5-6-6	1-3-3-2	3-4-5-5	7-6-6-5	2-2-3-2	7-3-5-6	2-3-3-1	5-6-4-5
LibriTTS_R/train-other-500/3409/167622/3409_167622_000002_000000.wav	5-5-4-4	5-5-5-6	3-3-5-3	2-5-5-3	6-4-5-5	4-4-5-3	6-4-4-5	7-5-6-5	2-3-3-3	4-4-3-3
LibriTTS_R/train-other-500/3547/156970/3547_156970_000002_000011.wav	2-5-2-5	2-2-1-2	5-4-3-4	4-5-3-3	5-4-4-4	5-6-5-3	3-3-4-5	5-4-3-4	3-5-4-5	3-4-4-5
LibriTTS_R/train-other-500/3564/132498/3564_132498_000013_000000.wav	6-3-5-5	5-5-5-6	5-5-4-3	6-5-5-4	5-4-4-5	3-1-5-2	6-4-4-5	6-3-4-3	3-5-4-5	4-5-4-4
LibriTTS_R/train-other-500/3587/140711/3587_140711_000072_000012.wav	2-2-3-2	1-1-2-1	1-4-4-5	4-5-5-2	4-4-4-3	4-5-5-5	4-3-4-2	3-4-4-3	6-5-5-3	6-6-5-6
LibriTTS_R/train-other-500/3744/178594/3744_178594_000011_000000.wav	2-3-2-2	1-2-2-1	5-4-4-6	3-5-3-2	3-3-4-4	4-5-6-5	2-2-3-2	3-3-3-2	4-5-5-3	4-5-5-6
LibriTTS_R/train-other-500/3867/173236/3867_173236_000066_000002.wav	6-5-5-6	6-6-4-6	5-4-4-2	5-5-4-5	4-3-4-4	4-5-4-2	4-4-4-6	4-3-4-3	4-5-4-6	4-4-4-4
LibriTTS_R/train-other-500/3896/134415/3896_134415_000060_000001.wav	1-3-2-2	1-2-2-2	6-5-5-5	3-4-3-2	6-6-5-5	4-4-4-4	5-4-4-3	6-5-5-5	3-3-4-3	4-3-4-5
LibriTTS_R/train-clean-360/3923/153309/3923_153309_000030_000002.wav	1-2-1-1	1-1-1-1	6-4-5-6	2-5-4-2	3-3-5-5	5-4-6-4	1-2-3-2	5-2-5-3	2-4-4-2	3-4-4-6
LibriTTS_R/train-clean-360/3989/182394/3989_182394_000002_000003.wav	7-6-5-6	7-6-6-1	1-2-4-2	2-5-4-3	4-2-5-5	2-3-3-2	6-3-4-5	1-2-4-3	6-5-5-6	6-3-4-4
LibriTTS_R/train-clean-360/4098/11547/4098_11547_000021_000002.wav	5-5-6-6	6-6-6-7	5-2-3-2	5-5-5-4	4-2-4-3	3-2-2-3	5-3-4-5	4-2-4-2	5-5-5-6	5-3-4-4
LibriTTS_R/train-other-500/4174/69287/4174_69287_000049_000001.wav	6-5-5-5	7-6-5-7	2-4-3-2	2-5-2-2	3-3-4-4	4-4-6-4	4-3-3-5	2-2-3-5	4-4-4-5	4-2-3-4
LibriTTS_R/train-other-500/4218/41159/4218_41159_000014_000001.wav	1-3-2-2	1-2-2-2	7-5-6-6	2-5-4-2	6-4-5-5	6-6-6-5	5-3-3-2	6-5-5-4	3-4-4-3	4-5-4-4
LibriTTS_R/train-other-500/4235/7632/4235_7632_000006_000000.wav	5-3-4-3	5-5-4-6	5-5-5-5	4-5-5-3	3-3-3-3	4-5-5-4	5-4-4-3	5-3-3-4	3-4-4-4	2-2-3-4
LibriTTS_R/train-other-500/4262/14486/4262_14486_000030_000002.wav	6-3-4-4	6-5-4-7	6-4-5-3	4-5-4-2	5-3-4-4	5-4-5-4	6-4-4-4	6-3-4-3	4-4-5-5	4-2-5-4
LibriTTS_R/train-other-500/4321/15217/4321_15217_000015_000000.wav	6-6-5-6	7-6-5-7	3-2-4-1	4-5-3-2	6-5-6-2	4-4-4-4	7-4-4-5	6-3-5-6	3-4-2-5	6-2-3-3
LibriTTS_R/train-other-500/4463/26851/4463_26851_000020_000003.wav	6-6-6-6	6-7-6-7	3-2-5-2	7-6-6-6	3-4-4-3	3-3-3-3	5-4-4-5	3-2-3-3	5-5-4-6	4-5-4-4
LibriTTS_R/train-other-500/4480/44312/4480_44312_000009_000002.wav	4-5-3-3	4-4-4-4	3-4-3-5	6-5-6-3	4-3-4-4	4-4-5-4	4-3-4-4	3-2-4-2	5-4-4-5	5-3-3-5
LibriTTS_R/train-other-500/4563/26447/4563_26447_000005_000000.wav	6-5-5-5	6-5-5-7	3-4-4-3	4-5-5-4	5-3-4-3	3-3-3-3	6-4-4-4	4-3-4-3	5-4-4-4	5-3-3-4
LibriTTS_R/train-other-500/4706/28494/4706_28494_000009_000000.wav	6-5-4-4	7-5-5-6	5-4-5-3	5-6-5-3	3-4-4-3	4-4-5-4	6-5-4-5	3-3-3-3	4-4-4-4	5-5-4-3
LibriTTS_R/train-clean-360/4744/31668/4744_31668_000020_000002.wav	5-5-5-3	6-5-6-7	3-4-5-3	5-5-4-5	4-4-4-4	4-3-3-4	5-4-4-3	4-5-4-4	2-3-4-4	3-3-3-5
LibriTTS_R/train-clean-360/4860/13185/4860_13185_000015_000003.wav	2-3-3-3	1-2-2-2	1-3-3-5	2-5-5-4	4-3-4-3	4-4-4-4	3-3-4-5	3-1-2-3	6-6-6-4	6-6-4-3
LibriTTS_R/train-clean-360/5062/294697/5062_294697_000035_000001.wav	6-5-5-3	6-5-5-6	3-3-5-4	6-4-4-2	3-3-4-3	4-4-4-3	4-4-4-3	2-3-4-2	2-2-3-4	3-2-3-5
LibriTTS_R/train-clean-360/5093/29101/5093_29101_000032_000000.wav	5-5-5-4	6-5-6-6	4-3-5-4	5-5-4-3	2-3-4-3	4-4-5-3	4-3-4-3	4-3-3-2	4-4-5-4	3-5-5-4
LibriTTS_R/train-other-500/5118/40477/5118_40477_000016_000003.wav	3-2-2-5	1-1-2-1	4-6-6-5	4-5-5-5	4-3-4-4	4-6-5-5	4-3-4-3	2-2-4-5	4-6-6-4	5-5-5-4
LibriTTS_R/train-other-500/5132/33410/5132_33410_000003_000002.wav	3-2-4-2	3-2-3-2	5-5-4-5	4-5-4-4	6-4-4-5	4-4-3-4	5-3-4-6	6-4-3-5	3-4-2-3	4-5-3-3
LibriTTS_R/train-clean-360/5239/31629/5239_31629_000053_000001.wav	4-5-3-3	4-3-4-6	4-4-6-4	5-4-3-5	5-4-5-6	4-5-4-4	4-5-3-3	5-5-5-4	3-3-3-3	4-3-3-5
LibriTTS_R/train-other-500/5649/40567/5649_40567_000009_000001.wav	6-5-5-3	7-6-6-7	6-6-5-5	3-5-3-3	6-4-4-6	3-5-3-3	6-5-4-3	6-4-5-5	3-3-3-3	3-3-3-4
LibriTTS_R/train-other-500/5653/46266/5653_46266_000032_000001.wav	7-6-5-5	7-7-6-6	5-3-5-2	4-4-3-2	5-4-5-6	4-3-4-3	4-5-4-5	5-3-5-6	4-5-3-3	4-6-4-3
LibriTTS_R/train-clean-360/5656/44577/5656_44577_000035_000000.wav	1-1-2-1	1-1-1-1	3-4-4-5	2-3-2-4	3-3-4-2	5-5-6-5	1-1-2-2	3-2-4-2	5-6-4-5	5-6-4-6
LibriTTS_R/train-other-500/5765/231845/5765_231845_000045_000003.wav	1-2-3-2	1-1-2-2	5-4-4-5	2-4-3-2	4-3-4-5	4-4-3-2	3-2-4-3	4-2-5-3	4-5-3-3	4-5-4-6
LibriTTS_R/train-other-500/5796/49594/5796_49594_000031_000001.wav	7-6-6-6	7-7-6-7	2-2-3-1	4-5-3-2	5-4-4-6	3-3-3-2	6-5-4-5	4-2-5-5	5-5-4-5	6-6-6-4
LibriTTS_R/train-other-500/5826/48845/5826_48845_000050_000002.wav	1-1-1-1	1-1-1-1	6-4-5-6	2-4-2-2	3-3-5-3	6-6-6-5	1-1-2-3	5-2-4-3	3-6-4-3	3-6-5-5
LibriTTS_R/train-other-500/5886/27508/5886_27508_000007_000004.wav	1-2-1-1	1-2-1-1	6-4-6-6	2-4-2-2	5-6-5-3	6-6-6-5	1-2-2-2	5-6-5-4	4-2-3-3	5-3-4-4
LibriTTS_R/train-clean-360/5909/111961/5909_111961_000036_000000.wav	4-3-4-2	2-2-2-1	4-2-4-5	3-5-4-3	4-3-3-3	4-3-3-3	4-3-4-5	3-2-3-3	5-6-5-4	5-6-4-5
LibriTTS_R/train-other-500/5910/53048/5910_53048_000037_000002.wav	2-2-4-2	1-2-2-2	6-5-5-5	4-5-4-3	6-4-4-5	4-3-3-3	5-3-4-3	6-4-4-5	3-3-5-3	4-3-3-4
LibriTTS_R/train-other-500/5911/52164/5911_52164_000120_000000.wav	1-2-2-2	1-1-2-1	2-4-5-5	1-5-3-2	4-5-5-3	4-4-4-4	3-2-3-3	3-4-5-4	5-4-4-4	6-5-3-5
LibriTTS_R/train-clean-360/5984/63095/5984_63095_000031_000001.wav	5-5-5-5	5-5-5-6	5-4-5-3	6-5-4-3	3-2-4-2	5-5-5-4	3-5-3-3	3-2-4-3	3-4-3-4	3-3-3-3
LibriTTS_R/train-other-500/5993/19685/5993_19685_000060_000001.wav	1-2-2-2	1-2-1-1	5-3-5-5	2-5-3-3	3-3-5-3	5-4-5-3	2-3-4-3	5-3-4-4	3-3-4-3	3-6-3-5
LibriTTS_R/train-clean-360/6006/60480/6006_60480_000024_000000.wav	7-6-6-5	7-7-6-7	2-2-4-2	5-5-4-5	4-3-4-3	2-2-2-2	6-6-4-5	2-2-3-4	6-5-5-5	6-5-5-3
LibriTTS_R/train-clean-360/6032/56222/6032_56222_000025_000002.wav	5-5-5-5	6-6-5-6	3-3-3-5	6-5-4-5	3-3-3-3	4-4-5-4	5-4-3-4	2-2-3-3	4-6-4-5	4-2-3-3
LibriTTS_R/train-other-500/6077/58756/6077_58756_000010_000000.wav	2-3-4-2	1-2-2-2	4-5-4-5	3-5-5-3	4-4-4-4	4-4-5-4	5-3-4-3	5-3-4-4	4-5-3-3	4-6-3-3
LibriTTS_R/train-other-500/6106/58196/6106_58196_000002_000014.wav	5-4-5-3	6-5-5-6	4-4-3-3	4-4-3-4	4-4-3-4	4-5-5-4	4-4-3-3	4-4-3-2	4-4-4-4	4-4-3-5
LibriTTS_R/train-clean-100/6181/216552/6181_216552_000024_000000.wav	2-1-2-2	1-1-2-1	6-4-5-6	2-5-4-5	5-4-5-5	6-4-6-4	3-1-3-2	6-3-5-3	3-3-4-3	5-5-5-5
LibriTTS_R/train-other-500/6224/61957/6224_61957_000028_000000.wav	2-3-3-2	1-2-2-1	6-5-5-5	4-5-4-2	6-4-5-4	6-4-6-4	4-3-4-3	6-3-5-5	3-3-3-3	4-5-4-3
LibriTTS_R/train-clean-360/6288/63111/6288_63111_000032_000002.wav	6-5-5-4	6-5-6-6	2-3-3-3	5-5-4-3	5-3-4-5	4-3-4-2	6-5-4-5	3-3-3-4	4-5-4-4	4-4-5-4
LibriTTS_R/train-other-500/6370/92920/6370_92920_000015_000001.wav	1-2-2-2	1-1-1-1	5-4-6-6	2-4-3-3	5-4-5-3	5-5-5-4	2-1-3-3	5-3-5-3	3-5-3-3	3-5-3-5
LibriTTS_R/train-clean-360/6519/69412/6519_69412_000012_000004.wav	3-3-4-5	5-4-4-4	4-2-3-4	4-5-5-4	3-3-3-3	4-4-4-3	4-3-3-5	3-3-3-3	2-4-4-3	2-3-3-3
LibriTTS_R/train-clean-360/14/212/14_212_000032_000002.wav	6-6-5-5	7-7-6-7	5-3-4-4	5-4-4-5	5-4-4-5	2-3-3-4	6-3-4-3	4-3-4-4	5-4-4-4	5-5-4-3
LibriTTS_R/train-clean-360/16/122827/16_122827_000003_000000.wav	6-6-6-6	6-6-6-6	3-2-3-1	6-5-5-5	3-3-3-3	2-2-3-2	6-3-4-6	3-3-3-6	5-5-5-5	3-5-4-2
LibriTTS_R/train-other-500/20/205/20_205_000023_000001.wav	4-6-5-6	6-7-6-7	3-3-5-2	3-5-4-2	5-5-4-6	4-5-4-3	5-5-4-6	5-5-5-6	3-4-3-5	4-4-4-4
LibriTTS_R/train-clean-360/28/12332/28_12332_000019_000004.wav	3-3-3-3	5-4-4-5	5-3-4-5	3-4-3-3	4-3-4-4	5-6-5-5	4-3-4-3	4-4-4-3	3-4-3-3	3-3-3-3
LibriTTS_R/train-other-500/29/130626/29_130626_000069_000000.wav	4-5-4-5	2-3-2-2	4-4-5-5	4-5-5-5	5-3-4-4	4-5-5-4	4-4-4-3	4-4-4-3	5-5-4-5	5-6-5-5
LibriTTS_R/train-clean-360/30/4445/30_4445_000011_000000.wav	5-5-5-5	6-5-6-6	3-2-4-3	4-5-4-3	3-4-4-4	4-3-4-3	5-3-4-5	4-3-3-3	4-5-4-5	4-5-4-4
LibriTTS_R/train-other-500/31/121969/31_121969_000004_000002.wav	2-1-2-2	1-1-1-1	6-5-6-6	3-3-3-2	5-3-4-3	5-6-6-6	3-3-4-2	5-5-6-5	3-2-4-2	3-2-4-4
LibriTTS_R/train-clean-100/32/4137/32_4137_000006_000001.wav	5-6-4-5	6-6-5-5	3-3-5-3	5-5-4-4	4-3-4-4	4-5-4-4	5-4-4-4	3-3-4-3	4-4-4-4	4-3-4-3
LibriTTS_R/train-other-500/36/16603/36_16603_000055_000004.wav	2-3-4-2	2-2-1-1	5-5-5-3	3-4-4-5	4-4-4-4	5-6-5-6	3-3-4-2	4-4-3-3	4-5-4-5	5-5-4-5
LibriTTS_R/train-other-500/37/215/37_215_000012_000001.wav	3-3-3-2	2-2-1-1	5-4-4-3	5-4-4-6	5-4-4-4	4-5-5-6	3-4-4-2	5-4-4-3	4-4-4-5	4-4-5-5
LibriTTS_R/train-clean-100/40/121026/40_121026_000154_000000.wav	5-5-5-5	6-5-6-6	2-2-4-3	3-4-4-3	4-4-4-5	4-3-3-3	5-4-4-4	4-5-4-3	4-5-4-4	4-5-4-5
LibriTTS_R/train-other-500/44/207/44_207_000004_000003.wav	5-5-5-5	6-5-6-6	3-3-4-3	4-5-4-3	4-3-4-4	4-4-4-4	5-4-4-3	3-5-4-2	5-5-5-4	5-5-4-3
LibriTTS_R/train-other-500/45/121050/45_121050_000082_000009.wav	5-5-5-6	5-5-6-6	5-3-4-3	5-3-4-3	5-3-4-4	4-3-4-4	5-4-4-3	5-3-4-3	3-5-4-4	4-5-4-3
LibriTTS_R/train-other-500/46/128001/46_128001_000008_000032.wav	1-2-3-2	1-2-2-1	5-4-4-6	3-3-3-2	5-5-5-5	4-4-5-5	3-4-4-2	6-5-5-5	2-3-3-3	4-5-4-4
LibriTTS_R/train-other-500/47/122796/47_122796_000079_000004.wav	6-6-5-4	6-5-6-6	3-2-4-3	3-5-5-4	4-3-4-4	4-3-3-4	5-4-4-4	4-3-4-5	4-4-4-3	4-4-4-3
LibriTTS_R/train-other-500/49/121052/49_121052_000110_000001.wav	2-5-3-2	2-2-2-1	5-5-4-6	3-4-4-4	5-5-4-4	5-5-4-5	3-3-4-3	5-4-4-4	3-4-4-3	4-4-4-5
LibriTTS_R/train-other-500/51/121055/51_121055_000114_000000.wav	2-3-4-2	2-2-2-1	5-3-5-6	5-5-5-5	5-3-4-4	4-4-3-5	3-4-4-3	5-4-4-4	3-3-3-4	3-3-4-5
LibriTTS_R/train-other-500/52/121057/52_121057_000036_000007.wav	5-6-5-5	6-5-5-5	3-3-4-3	4-6-5-4	3-3-3-4	4-3-3-3	4-4-4-4	3-3-3-5	5-5-4-5	4-3-4-5
LibriTTS_R/train-clean-360/54/121079/54_121079_000127_000001.wav	5-6-5-4	7-6-6-6	2-3-4-2	2-5-3-1	4-4-5-4	3-3-3-3	5-5-4-5	3-3-5-5	6-5-3-5	5-6-5-5
